iter	Passed	Remaining
0	0	67
1	1	54
2	1	48
3	1	43
4	2	42
5	2	41
6	3	41
7	3	41
8	4	42
9	4	41
10	4	40
11	5	39
12	5	38
13	6	38
14	6	37
15	6	36
16	7	36
17	7	35
18	8	35
19	8	34
20	9	33
21	9	33
22	10	33
23	10	33
24	10	32
25	11	31
26	11	31
27	12	31
28	12	31
29	13	31
30	14	31
31	14	31
32	15	31
33	15	30
34	16	30
35	16	30
36	17	29
37	17	29
38	18	28
39	18	27
40	18	27
41	18	26
42	19	25
43	19	25
44	20	24
45	20	24
46	21	23
47	21	23
48	21	22
49	22	22
50	22	21
51	23	21
52	24	21
53	24	20
54	24	20
55	25	19
56	25	19
57	26	18
58	26	18
59	27	18
60	27	17
61	28	17
62	28	16
63	29	16
64	29	15
65	29	15
66	30	14
67	30	14
68	31	14
69	31	13
70	32	13
71	32	12
72	33	12
73	34	12
74	34	11
75	36	11
76	36	11
77	37	10
78	37	10
79	38	9
80	38	9
81	39	8
82	39	8
83	40	7
84	41	7
85	41	6
86	42	6
87	42	5
88	43	5
89	43	4
90	44	4
91	44	3
92	44	3
93	45	2
94	45	2
95	46	1
96	46	1
97	47	0
98	47	0
99	48	0
