iter	Passed	Remaining
0	46	46902
1	47	23694
2	48	16127
3	49	12243
4	49	9876
5	50	8296
6	51	7249
7	51	6407
8	52	5802
9	53	5264
10	53	4829
11	54	4506
12	55	4222
13	56	3954
14	56	3720
15	57	3513
16	57	3344
17	58	3185
18	58	3037
19	59	2905
20	59	2786
21	60	2679
22	60	2581
23	61	2491
24	61	2412
25	62	2333
26	62	2262
27	63	2209
28	64	2147
29	64	2089
30	65	2033
31	65	1981
32	66	1935
33	66	1892
34	67	1849
35	67	1807
36	68	1784
37	69	1748
38	69	1713
39	69	1679
40	70	1648
41	70	1618
42	71	1590
43	71	1562
44	72	1539
45	73	1514
46	73	1489
47	73	1466
48	74	1444
49	75	1425
50	75	1406
51	76	1386
52	76	1367
53	77	1349
54	77	1330
55	77	1313
56	78	1297
57	78	1282
58	79	1268
59	80	1253
60	80	1238
61	81	1231
62	81	1217
63	83	1216
64	83	1203
65	84	1190
66	84	1177
67	86	1183
68	86	1172
69	87	1167
70	88	1160
71	89	1151
72	90	1144
73	90	1136
74	91	1126
75	91	1116
76	92	1105
77	92	1097
78	93	1087
79	93	1077
80	95	1080
81	95	1071
82	95	1060
83	96	1055
84	97	1047
85	97	1039
86	98	1031
87	98	1023
88	99	1019
89	100	1013
90	100	1007
91	101	1000
92	101	993
93	102	985
94	102	978
95	103	972
96	103	965
97	104	958
98	104	954
99	105	949
100	106	943
101	106	938
102	107	932
103	107	927
104	108	921
105	108	915
106	109	909
107	109	904
108	109	898
109	110	893
110	110	888
111	111	884
112	112	879
113	112	875
114	113	871
115	113	866
116	114	861
117	114	856
118	115	853
119	115	849
120	116	844
121	116	838
122	116	834
123	117	829
124	117	824
125	118	820
126	119	824
127	120	823
128	121	820
129	122	816
130	122	812
131	123	814
132	125	816
133	125	813
134	126	809
135	126	805
136	127	801
137	128	800
138	129	802
139	130	804
140	131	802
141	132	798
142	132	795
143	136	810
144	137	808
145	137	804
146	138	801
147	140	808
148	141	805
149	141	804
150	142	800
151	143	798
152	143	796
153	144	793
154	145	790
155	146	791
156	146	787
157	147	784
158	147	781
159	148	780
160	149	777
161	152	791
162	155	796
163	155	792
164	156	789
165	156	787
